sample_name	43.332.A.	42.332.D.	41.332.A.	41.332.B.	10.332.A.	10.332.B.	13.332.A.	15.332.A.	47.332.A.	2.332.B....11	14.332.A.	1.332.O.	2.332.B....14	6.332.A.	9.332.B.	8.332.A....17	8.332.B....18	8.332.A....19	13.332.B.	15.332.B.	12.332.B.	4.332.O....23	5.332.B.	4.332.O....25	34.332.A.	8.332.A....27	8.332.B....28	2.329.O.	1.331.A.	5.331.B.	8.331.O.	1.007.O.	1.122.B.	1.122.A.	1.105.O.	1.106.O.	1.013.O.	1.149.O.	1.253.O.	1.186.O.	1.204.O.	1.256.O.	1.273.O.	1.289.A.	1.293.O.	1.173.O.	1.178.O.	1.197.A.	1.199.A.	1.199.B.	1.201.B.	1.214.O.	1.236.O.	1.243.O.	1.248.O.	1.263.A.	1.263.B.	1.265.O.	1.275.O.	1.276.O.	1.278.O.	1.284.A.	1.286.O.	1.287.O.	1.215.A.	45.332.B.	40.332.C.	42.332.A.	1.329.O.	7.329.O.	8.329.O.	3.330.B.	5.330.B.	7.330.B.	1.331.B.	1.080.O.	1.043.O.	total_interactions	one_or_more	two_or_more	three_or_more
10N.232.45.G2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.45.H2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.45.H3	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.46.A2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.232.46.A3	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	3	TRUE	TRUE	TRUE
10N.232.46.B2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.46.C2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.232.46.D2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.46.E4	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.46.F1	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.232.46.F2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.46.G1	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.232.46.H1	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.232.46.H2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.236.45.B12	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.236.45.C12	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.236.45.E12	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.236.45.F12	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.236.46.C1	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	2	TRUE	TRUE	FALSE
10N.236.46.C2	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	2	TRUE	TRUE	FALSE
10N.236.46.D2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	4	TRUE	TRUE	TRUE
10N.236.46.E2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.236.46.F1	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.236.46.F2	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.236.46.H1	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	2	TRUE	TRUE	FALSE
10N.236.47.A10	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.236.47.B10	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	2	TRUE	TRUE	FALSE
